,name_vacancy,a_href,min_salary,max_salary,site
0,Data Scientist - NLP Engineer,https://spb.hh.ru/vacancy/33597989?query=Data%20scientist,0,0,hh.ru
1,Middle data scientist,https://spb.hh.ru/vacancy/33492707?query=Data%20scientist,0,0,hh.ru
2,Data Scientist,https://spb.hh.ru/vacancy/33552237?query=Data%20scientist,0,0,hh.ru
3,Middle/Senior Data scientist,https://spb.hh.ru/vacancy/32838333?query=Data%20scientist,0,0,hh.ru
4,Data Scientist,https://spb.hh.ru/vacancy/31381678?query=Data%20scientist,130,0,hh.ru
5,Data Scientist,https://spb.hh.ru/vacancy/33254178?query=Data%20scientist,0,0,hh.ru
6,Аналитик BI / Data scientist,https://spb.hh.ru/vacancy/33432328?query=Data%20scientist,0,0,hh.ru
7,Data Scientist / Data Science / engineer of machine learning (deep learning),https://spb.hh.ru/vacancy/33208658?query=Data%20scientist,120,0,hh.ru
8,Data Scientist,https://spb.hh.ru/vacancy/33228647?query=Data%20scientist,0,0,hh.ru
9,Data Scientist,https://spb.hh.ru/vacancy/33671313?query=Data%20scientist,0,0,hh.ru
10,Senior Data Scientist в Контур.Фокус,https://spb.hh.ru/vacancy/32113032?query=Data%20scientist,0,0,hh.ru
11,Data Scientist в проект CRM,https://spb.hh.ru/vacancy/31581584?query=Data%20scientist,0,0,hh.ru
12,Data Scientist / backend-разработчик для медиаконтента,https://spb.hh.ru/vacancy/33358712?query=Data%20scientist,0,0,hh.ru
13,Data And Business Intelligence Analyst (Marketing),https://spb.hh.ru/vacancy/30477202?query=Data%20scientist,0,0,hh.ru
14,Data scientist (Нижний Новгород),https://spb.hh.ru/vacancy/33487817?query=Data%20scientist,0,0,hh.ru
15,Data Scientist,https://spb.hh.ru/vacancy/33577142?query=Data%20scientist,0,0,hh.ru
16,Senior Data Scientist,https://spb.hh.ru/vacancy/33657180?query=Data%20scientist,0,0,hh.ru
17,Data Scientist,https://spb.hh.ru/vacancy/33625162?query=Data%20scientist,0,0,hh.ru
18,Data Scientist (Data Lab Team),https://spb.hh.ru/vacancy/33597191?query=Data%20scientist,0,0,hh.ru
19,Research Team Lead/ Project manager in PR Data Scientist Team,https://spb.hh.ru/vacancy/33310304?query=Data%20scientist,0,0,hh.ru
20,Data scientist,https://spb.hh.ru/vacancy/33256232?query=Data%20scientist,150,0,hh.ru
21,Senior Data Scientist (производственная компания),https://spb.hh.ru/vacancy/33008666?query=Data%20scientist,0,0,hh.ru
22,Data scientist,https://spb.hh.ru/vacancy/30965591?query=Data%20scientist,0,0,hh.ru
23,BI Analyst/Аналитик Данных,https://spb.hh.ru/vacancy/33361110?query=Data%20scientist,84,200,hh.ru
24,Data Scientist (Amber Team),https://spb.hh.ru/vacancy/33562986?query=Data%20scientist,150,0,hh.ru
25,Специалист по машинному обучению/Data Scientist (NLP),https://spb.hh.ru/vacancy/33608231?query=Data%20scientist,0,0,hh.ru
26,Data scientist,https://spb.hh.ru/vacancy/26184521?query=Data%20scientist,0,0,hh.ru
27,Data scientist,https://spb.hh.ru/vacancy/33006847?query=Data%20scientist,0,0,hh.ru
28,Senior Data Scientist (Ценообразование),https://spb.hh.ru/vacancy/33555753?query=Data%20scientist,0,0,hh.ru
29,Junior Data Scientist [id10518],https://spb.hh.ru/vacancy/33496888?query=Data%20scientist,0,0,hh.ru
30,"Lead Product Manager, Machine Learning",https://spb.hh.ru/vacancy/30021906?query=Data%20scientist,0,0,hh.ru
31,Data Scientist,https://spb.hh.ru/vacancy/33035065?query=Data%20scientist,150,0,hh.ru
32,Data Scientist (emotion detection),https://spb.hh.ru/vacancy/29639855?query=Data%20scientist,0,0,hh.ru
33,Data Scientist (speech synthesis),https://spb.hh.ru/vacancy/28481921?query=Data%20scientist,0,0,hh.ru
34,Data Scientist (event detection),https://spb.hh.ru/vacancy/30331894?query=Data%20scientist,0,0,hh.ru
35,Senior Data Scientist [id10519],https://spb.hh.ru/vacancy/33496882?query=Data%20scientist,0,0,hh.ru
36,Ведущий специалист по машинному обучению/Data Scientist,https://spb.hh.ru/vacancy/32357741?query=Data%20scientist,0,0,hh.ru
37,Middle/ Senior Data scientist (speech recognition),https://spb.hh.ru/vacancy/26824987?query=Data%20scientist,0,0,hh.ru
38,Data Scientist отдела аудита информационных технологий,https://spb.hh.ru/vacancy/33198879?query=Data%20scientist,0,0,hh.ru
39,Аналитик/Data scientist,https://spb.hh.ru/vacancy/33459946?query=Data%20scientist,0,0,hh.ru
40,Data Scientist (Marketing Research & Analytics),https://spb.hh.ru/vacancy/32726853?query=Data%20scientist,0,0,hh.ru
41,Data scientist,https://spb.hh.ru/vacancy/32509554?query=Data%20scientist,0,0,hh.ru
42,Lead data scientist,https://spb.hh.ru/vacancy/32256533?query=Data%20scientist,0,0,hh.ru
43,Research engineer/Data Scientist,https://spb.hh.ru/vacancy/33392640?query=Data%20scientist,0,0,hh.ru
44,Middle/ Senior Data Scientist (NLP),https://spb.hh.ru/vacancy/31701083?query=Data%20scientist,0,0,hh.ru
45,Data Scientist / Специалист машинного обучения,https://spb.hh.ru/vacancy/33354919?query=Data%20scientist,0,0,hh.ru
46,Data Scientist,https://spb.hh.ru/vacancy/32968036?query=Data%20scientist,0,0,hh.ru
47,Big Data Engineer (Backend Developer),https://spb.hh.ru/vacancy/32672003?query=Data%20scientist,0,0,hh.ru
48,Специалист по машинному обучению / Data Scientist (FinTech),https://spb.hh.ru/vacancy/27979429?query=Data%20scientist,75,0,hh.ru
49,Data Scientist,https://spb.hh.ru/vacancy/33245461?query=Data%20scientist,0,0,hh.ru
50,Junior Data Scientist,https://spb.hh.ru/vacancy/31532792?query=Data%20scientist,0,0,hh.ru
51,"Разработчик data scientist (python, TensorFlow)",https://spb.hh.ru/vacancy/33371802?query=Data%20scientist,60,0,hh.ru
52,Исследователь в области машинного обучения и анализа данных,https://spb.hh.ru/vacancy/32561240?query=Data%20scientist,70,0,hh.ru
53,Team Lead/Senior Data Scientist [id9672],https://spb.hh.ru/vacancy/32830582?query=Data%20scientist,0,0,hh.ru
54,Research Scientist - Wireless Networks - Modeling and Simulation,https://spb.hh.ru/vacancy/33463904?query=Data%20scientist,0,0,hh.ru
55,Разработчик-исследователь в области искусственного интеллекта / Data Scientist,https://spb.hh.ru/vacancy/29816624?query=Data%20scientist,80,0,hh.ru
56,Data Analyst / Data Scientist,/vakansii/data-analyst-31230007.html,0,0,superjob.ru
57,Data scientist-Аналитик,/vakansii/data-scientist-analitik-32123332.html,0,0,superjob.ru
